listing_id,title,monthly_rent_npr,area_sqft_approx,road_width_ft,location,ward,municipality,district,property_type,house_type,direction,bedrooms,bathrooms,living_rooms,kitchens,total_rooms,parking,built_up_sqft,no_of_flats,built_year,description,city,source
9541,House for rent,75000.0,1197.88,14.0,"Samakhusi 26 Kathmandu Metropolis Kathmandu, Bagmati",26.0,Kathmandu Metropolis,Kathmandu,house,Furnished,North,,4.0,3.0,2.0,8.0,Car 1,2200.0,2.5,2072,Prime location. Posh area.,kathmandu,gharghaderi.com
9464,"House on rent: Civil Homes Phase VII, Nagarjun-6",50000.0,1026.75,10.0,"Sitapaila 6 Kathmandu Metropolis Kathmandu, Bagmati",6.0,Kathmandu Metropolis,Kathmandu,house,Residential,Select Direction,3.0,3.0,1.0,1.0,5.0,Cars 3-5,850.0,2.0,2075,"A well-maintained house on 2.5 anna land is available for sale in the peaceful and secure Civil Homes Phase VII, Block D, Nagarjun-6. Property Highlights: Prime location within a well-established residential colony Approximately 2 km from Bafal Chowk Ample car parking space Ideal for a family residence Reliable water supply with no water shortage Friendly, decent, and cooperative neighborhood Safe and peaceful environment Easy access to schools, shops, hospitals, and public transportation This property offers comfortable living in a desirable residential community, making it an excellent choice for families seeking convenience, security, and a pleasant neighborhood.",kathmandu,gharghaderi.com
9361,4 BHK Semi Furnished House for Rent at Bhaisepati,119999.0,1540.12,12.0,"Bhaisepati 18 Kathmandu Metropolis Kathmandu, Bagmati",18.0,Kathmandu Metropolis,Kathmandu,house,Residential,South,4.0,4.0,1.0,1.0,5.0,Cars 2,1600.0,2.5,2070,"4BHK Semi Furninsed house on rent at Bhaisepati. 4 Rooms, Toilet ( 2 Attached, 2 Common) 1 Living, Kitchen, Store room 2 Car Parking space (inside colony with gaurd and sound pavement)",kathmandu,gharghaderi.com
9087,House on Rent at Koteswor for Office or Restaurant in Prime Area,250000.0,3935.88,26.0,"Koteswor 32 Kathmandu Metropolis Kathmandu, Bagmati",32.0,Kathmandu Metropolis,Kathmandu,house,Commercial,South,7.0,5.0,1.0,1.0,9.0,Cars 5-10,3100.0,2.5,2065,,kathmandu,gharghaderi.com
9034,Fully-Furnished House on rent at Budhanilkantha,120000.0,1369.0,13.0,"Budhanilkantha Kathmandu Metropolis Kathmandu, Bagmati",,Budhanilkantha Kathmandu Metropolis,Kathmandu,house,Residential,South,5.0,3.0,2.0,1.0,,Car 1,,,Select Year,"Fully-Furnished House on rent at Budhanilkantha, Ktm Key Features: Property Code:-HR 260 Rent :- 120k Per Month Location:-Budhanilkantha, Roadshow 5BHK House Bedrooms:- 5 Bathrooms:- 3 Living Hall:-2 Modular Kitchen & Dining:-1 Furnishings:-Fully-Furnished Parking;-1 car,few bikes Contact Us Phone Numbers –  9766389438 – 984-5877861 –  9762791734 –  9762791735 – 9864032233 Landline number +97715253861 ️ Facilities – ️ Electricity – ️ Cable Connection – ️ Peaceful Environment – ️ 24/7 Water Supply – ️ No Vehicle & Sound Pollution For More Information Contact Details Indus Property Nepal Pvt. Ltd Email: [](mailto:) Website: [ Facebook Page: [Indus Property]( Instagram: [Contact Us](",kathmandu,gharghaderi.com
9013,"House for rent near Neurological Hospital, Bansbari sold",130000.0,,12.0,"Bansbari-3 3 Kathmandu Metropolis Kathmandu, Bagmati",3.0,Kathmandu Metropolis,Kathmandu,house,Bungalow,East,5.0,6.0,2.0,1.0,8.0,Cars 2,1.0,2.5,2065,"2.5 storied semi-furnished house on rent - 300 meter opposite from Neurological Hospital, Bansbari-3. This house is suitable for residential or small office purpose. Structure of the house: Ground floor: 1 common room, 1 common bathroom, 1 living room, 1 kitchen/dining including a small lobby First floor: 2 attached rooms, 1 common room, 1 lobby Second floor: 1 attached room Roof top: 2 stores and 1 common toilet Parking space: 2 cars and 10 motorbikes Kitchen garden: approx. 2.5 anna for kitchen gardening or to be used for parking or temporary structures All basic facilities of electricity, water, 260 feet deep boring and underground reserve tank of 12,000 liters available.",kathmandu,gharghaderi.com
8929,"Fully-Furnished House on rent at Maitinagar, Kalanki",75000.0,1369.0,20.0,"Maitinagar Kathmandu Metropolis Kathmandu, Bagmati",,Maitinagar Kathmandu Metropolis,Kathmandu,house,Residential,South,3.0,4.0,1.0,1.0,,Car 1,,,Select Year,"Fully-Furnished House on rent at Maitinagar,Kalanki Key Features: Property Code:-HR 263 Rent :- 75k Per Month Location:-Maitinagar 3BHK House Bedrooms:-3 Bathrooms:- 4 Living Hall:-1 Modular Kitchen & Dining:-1 2 TV,/ 1 Washing machine, Contact Us Phone Numbers – 984-5877861 –  9766389438 –  9762791734 –  9762791735 – 9864032233 Landline number +97715253861 ️ Facilities – ️ Electricity – ️ Cable Connection – ️ Peaceful Environment – ️ 24/7 Water Supply – ️ No Vehicle & Sound Pollution For More Information Contact Details Indus Property Nepal Pvt. Ltd Email: [](mailto:) Website: [ Facebook Page: [Indus Property]( Instagram: [Contact Us]( #realestateagent #propertyinnepall #foryoupagereels #trendingreelsvideo #kathmandu #lalitpur #Induspropertynepal #TrustedRealEstateExpert #realestateexpertpert #toprealestat",kathmandu,gharghaderi.com
8711,"Beautiful House on rent at Imadol, Lalitpur",60000.0,1369.0,13.0,"Imadol Kathmandu Metropolis Kathmandu, Bagmati",,Imadol Kathmandu Metropolis,Kathmandu,house,Residential,South,4.0,3.0,2.0,2.0,,Car 1,,,Select Year,"Fully-Furnished House on rent at Imadol, Lalitpur Key Features: Property Code:-HR 259 Rent :- 60k Per Month Location:-Imadol Bedrooms:- 4 Bathrooms:- 2 Living Hall:-2 Modular Kitchen & Dining:-2 Furnishings:-Fully-Furnished Parking:- 1 car Contact Us Phone Numbers 984-5877861 –  9762791734 –  9762791735 – 9864032233 Landline number +97715253861 ️ Facilities – ️ Electricity – ️ Cable Connection – ️ Peaceful Environment – ️ 24/7 Water Supply – ️ No Vehicle & Sound Pollution For More Information Contact Details Indus Property Nepal Pvt. Ltd Email: [](mailto:) Website: [ Facebook Page: [Indus Property]( Instagram: [Contact Us]( #realestateagent #propertyinnepall #foryoupagereels #trendingreelsvideo #kathmandu #lalitpur #Induspropertynepal #TrustedRealEstateExpert #realestateexpertpert #toprealestat",kathmandu,gharghaderi.com
8702,"Fully-Furnished House on rent at Kalanki, Kathmandu",165000.0,4449.25,20.0,"Kalanki Kathmandu Metropolis Kathmandu, Bagmati",,Kalanki Kathmandu Metropolis,Kathmandu,house,Residential,South,4.0,4.0,1.0,1.0,,Cars 2,,,Select Year,"Fully-Furnished House on rent at Kalanki, Kathmandu Key Features: Property Code:-HR 258 Rent :- 165k Per Month Location:-Kalanki Bedrooms:- 4 Bathrooms:- 1 (3 Attached) Living Hall:-1 Modular Kitchen & Dining:-1 Furnishings:-Fully-Furnished Contact Us Phone Numbers 984-5877861 –  9762791734 –  9762791735 – 9864032233 Landline number +97715253861 ️ Facilities – ️ Electricity – ️ Cable Connection – ️ Peaceful Environment – ️ 24/7 Water Supply – ️ No Vehicle & Sound Pollution For More Information Contact Details Indus Property Nepal Pvt. Ltd Email: [](mailto:) Website: [ Facebook Page: [Indus Property]( Instagram: [Contact Us]( #realestateagent #propertyinnepall #foryoupagereels #trendingreelsvideo #kathmandu #lalitpur #Induspropertynepal #TrustedRealEstateExpert #realestateexpertpert #toprealestat",kathmandu,gharghaderi.com
8571,house on rent at dhumbarahi sold,100000.0,1540.12,13.0,"Dhumbarahi Kathmandu Metropolis Kathmandu, Bagmati",,Dhumbarahi Kathmandu Metropolis,Kathmandu,house,Residential,Select Direction,6.0,4.0,2.0,2.0,,,,2.5,Select Year,,kathmandu,gharghaderi.com
